"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60329","test_pricecheck","sprint-1.Automata_tesztek","Thu Oct 23 07:11:11 UTC 2025","broken","Thu Oct 23 07:12:11 UTC 2025","TestWebShop","test_pricecheck","",""
"","61481","test_login","sprint-1.Automata_tesztek","Thu Oct 23 07:14:14 UTC 2025","broken","Thu Oct 23 07:15:15 UTC 2025","TestWebShop","test_pricecheck","",""
"","60296","test_number_available_instruments","sprint-1.Automata_tesztek","Thu Oct 23 07:13:13 UTC 2025","broken","Thu Oct 23 07:14:13 UTC 2025","TestWebShop","test_pricecheck","",""
"","60306","test_name","sprint-1.Automata_tesztek","Thu Oct 23 07:12:12 UTC 2025","broken","Thu Oct 23 07:13:12 UTC 2025","TestWebShop","test_pricecheck","",""
