"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33","san2","sprint-1.Automata_tesztek","Sun Oct 26 18:50:45 UTC 2025","passed","Sun Oct 26 18:50:45 UTC 2025","TestWebShop","test_automated","",""
"","148","san3","sprint-1.Automata_tesztek","Sun Oct 26 18:50:46 UTC 2025","passed","Sun Oct 26 18:50:46 UTC 2025","TestWebShop","test_automated","",""
"","1947","Iphone 14 Pro Max Login","sprint-1.Automata_tesztek","Sun Oct 26 18:50:47 UTC 2025","passed","Sun Oct 26 18:50:49 UTC 2025","TestWebShop","test_automated","",""
"","177","Price On Main vs Details","sprint-1.Automata_tesztek","Sun Oct 26 18:50:57 UTC 2025","passed","Sun Oct 26 18:50:57 UTC 2025","TestWebShop","test_automated","",""
"","2258","Delete Instrument By Name","sprint-1.Automata_tesztek","Sun Oct 26 18:50:54 UTC 2025","passed","Sun Oct 26 18:50:56 UTC 2025","TestWebShop","test_automated","",""
"","53","san1","sprint-1.Automata_tesztek","Sun Oct 26 18:50:44 UTC 2025","passed","Sun Oct 26 18:50:44 UTC 2025","TestWebShop","test_automated","",""
"","2846","Add New Instrument","sprint-1.Automata_tesztek","Sun Oct 26 18:50:51 UTC 2025","passed","Sun Oct 26 18:50:53 UTC 2025","TestWebShop","test_automated","",""
"","310","Shopping Cart Counter","sprint-1.Automata_tesztek","Sun Oct 26 18:50:49 UTC 2025","passed","Sun Oct 26 18:50:50 UTC 2025","TestWebShop","test_automated","",""
