"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","test_name","sprint-1.Automata_tesztek","Sat Oct 25 12:15:39 UTC 2025","passed","Sat Oct 25 12:15:39 UTC 2025","TestWebShop","test_automated","",""
"","52","test_pricecheck","sprint-1.Automata_tesztek","Sat Oct 25 12:15:38 UTC 2025","passed","Sat Oct 25 12:15:38 UTC 2025","TestWebShop","test_automated","",""
"","135","test_number_available_instruments","sprint-1.Automata_tesztek","Sat Oct 25 12:15:40 UTC 2025","passed","Sat Oct 25 12:15:40 UTC 2025","TestWebShop","test_automated","",""
"","121492","test_login","sprint-1.Automata_tesztek","Sat Oct 25 12:15:41 UTC 2025","broken","Sat Oct 25 12:17:43 UTC 2025","TestWebShop","test_automated","",""
