"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","195","test_number_available_instruments","sprint-1.Automata_tesztek","Mon Oct 20 14:12:11 UTC 2025","passed","Mon Oct 20 14:12:11 UTC 2025","TestWebShop","test_pricecheck","",""
"","560","test_name","sprint-1.Automata_tesztek","Mon Oct 20 14:12:10 UTC 2025","passed","Mon Oct 20 14:12:10 UTC 2025","TestWebShop","test_pricecheck","",""
"","595","test_pricecheck","sprint-1.Automata_tesztek","Mon Oct 20 14:12:09 UTC 2025","passed","Mon Oct 20 14:12:09 UTC 2025","TestWebShop","test_pricecheck","",""
