"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","65","test_pricecheck","sprint-1.Automata_tesztek","Sat Oct 25 12:26:34 UTC 2025","passed","Sat Oct 25 12:26:34 UTC 2025","TestWebShop","test_automated","",""
"","121703","test_login","sprint-1.Automata_tesztek","Sat Oct 25 12:26:37 UTC 2025","broken","Sat Oct 25 12:28:39 UTC 2025","TestWebShop","test_automated","",""
"","27","test_name","sprint-1.Automata_tesztek","Sat Oct 25 12:26:35 UTC 2025","passed","Sat Oct 25 12:26:35 UTC 2025","TestWebShop","test_automated","",""
"","138","test_number_available_instruments","sprint-1.Automata_tesztek","Sat Oct 25 12:26:36 UTC 2025","passed","Sat Oct 25 12:26:36 UTC 2025","TestWebShop","test_automated","",""
