"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20309","test_name","sprint-1.Automata_tesztek","Wed Oct 22 07:29:24 UTC 2025","broken","Wed Oct 22 07:29:44 UTC 2025","TestWebShop","test_pricecheck","",""
"","20296","test_pricecheck","sprint-1.Automata_tesztek","Wed Oct 22 07:29:03 UTC 2025","broken","Wed Oct 22 07:29:23 UTC 2025","TestWebShop","test_pricecheck","",""
"","20284","test_number_available_instruments","sprint-1.Automata_tesztek","Wed Oct 22 07:29:45 UTC 2025","broken","Wed Oct 22 07:30:05 UTC 2025","TestWebShop","test_pricecheck","",""
"","22239","test_login","sprint-1.Automata_tesztek","Wed Oct 22 07:30:06 UTC 2025","broken","Wed Oct 22 07:30:28 UTC 2025","TestWebShop","test_pricecheck","",""
