"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","200","test_number_available_instruments","sprint-1.Automata_tesztek","Sat Oct 25 12:27:03 UTC 2025","passed","Sat Oct 25 12:27:03 UTC 2025","TestWebShop","test_automated","",""
"","28","test_name","sprint-1.Automata_tesztek","Sat Oct 25 12:27:02 UTC 2025","passed","Sat Oct 25 12:27:02 UTC 2025","TestWebShop","test_automated","",""
"","69","test_pricecheck","sprint-1.Automata_tesztek","Sat Oct 25 12:27:02 UTC 2025","passed","Sat Oct 25 12:27:02 UTC 2025","TestWebShop","test_automated","",""
"","182273","test_login","sprint-1.Automata_tesztek","Sat Oct 25 12:27:04 UTC 2025","passed","Sat Oct 25 12:30:06 UTC 2025","TestWebShop","test_automated","",""
