"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","test_name","sprint-1.Automata_tesztek","Sat Oct 25 11:53:58 UTC 2025","passed","Sat Oct 25 11:53:58 UTC 2025","TestWebShop","test_automated","",""
"","121688","test_login","sprint-1.Automata_tesztek","Sat Oct 25 11:54:00 UTC 2025","broken","Sat Oct 25 11:56:02 UTC 2025","TestWebShop","test_automated","",""
"","161","test_number_available_instruments","sprint-1.Automata_tesztek","Sat Oct 25 11:53:59 UTC 2025","passed","Sat Oct 25 11:53:59 UTC 2025","TestWebShop","test_automated","",""
"","56","test_pricecheck","sprint-1.Automata_tesztek","Sat Oct 25 11:53:57 UTC 2025","passed","Sat Oct 25 11:53:57 UTC 2025","TestWebShop","test_automated","",""
