"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","test_name","sprint-1.Automata_tesztek","Sat Oct 25 12:06:37 UTC 2025","passed","Sat Oct 25 12:06:37 UTC 2025","TestWebShop","test_automated","",""
"","57","test_pricecheck","sprint-1.Automata_tesztek","Sat Oct 25 12:06:36 UTC 2025","passed","Sat Oct 25 12:06:36 UTC 2025","TestWebShop","test_automated","",""
"","121678","test_login","sprint-1.Automata_tesztek","Sat Oct 25 12:06:39 UTC 2025","broken","Sat Oct 25 12:08:41 UTC 2025","TestWebShop","test_automated","",""
"","215","test_number_available_instruments","sprint-1.Automata_tesztek","Sat Oct 25 12:06:38 UTC 2025","passed","Sat Oct 25 12:06:38 UTC 2025","TestWebShop","test_automated","",""
