"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","548","test_name","sprint-1.Automata_tesztek","Tue Oct 21 06:47:22 UTC 2025","passed","Tue Oct 21 06:47:22 UTC 2025","TestWebShop","test_pricecheck","",""
"","75","test_pricecheck","sprint-1.Automata_tesztek","Tue Oct 21 06:47:21 UTC 2025","passed","Tue Oct 21 06:47:21 UTC 2025","TestWebShop","test_pricecheck","",""
"","5143","test_login","sprint-1.Automata_tesztek","Tue Oct 21 06:47:24 UTC 2025","broken","Tue Oct 21 06:47:29 UTC 2025","TestWebShop","test_pricecheck","",""
"","384","test_number_available_instruments","sprint-1.Automata_tesztek","Tue Oct 21 06:47:23 UTC 2025","passed","Tue Oct 21 06:47:23 UTC 2025","TestWebShop","test_pricecheck","",""
