"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20277","test_name","sprint-1.Automata_tesztek","Wed Oct 22 07:05:16 UTC 2025","broken","Wed Oct 22 07:05:36 UTC 2025","TestWebShop","test_pricecheck","",""
"","20279","test_pricecheck","sprint-1.Automata_tesztek","Wed Oct 22 07:04:55 UTC 2025","broken","Wed Oct 22 07:05:15 UTC 2025","TestWebShop","test_pricecheck","",""
"","20277","test_number_available_instruments","sprint-1.Automata_tesztek","Wed Oct 22 07:05:37 UTC 2025","broken","Wed Oct 22 07:05:57 UTC 2025","TestWebShop","test_pricecheck","",""
"","21745","test_login","sprint-1.Automata_tesztek","Wed Oct 22 07:05:58 UTC 2025","broken","Wed Oct 22 07:06:20 UTC 2025","TestWebShop","test_pricecheck","",""
