"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","610","test_pricecheck","sprint-1.Automata_tesztek","Tue Oct 21 07:17:21 UTC 2025","passed","Tue Oct 21 07:17:22 UTC 2025","TestWebShop","test_pricecheck","",""
"","45","test_name","sprint-1.Automata_tesztek","Tue Oct 21 07:17:23 UTC 2025","passed","Tue Oct 21 07:17:23 UTC 2025","TestWebShop","test_pricecheck","",""
"","293","test_number_available_instruments","sprint-1.Automata_tesztek","Tue Oct 21 07:17:24 UTC 2025","passed","Tue Oct 21 07:17:24 UTC 2025","TestWebShop","test_pricecheck","",""
"","20468","test_login","sprint-1.Automata_tesztek","Tue Oct 21 07:17:25 UTC 2025","broken","Tue Oct 21 07:17:45 UTC 2025","TestWebShop","test_pricecheck","",""
