"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1202","test_login","sprint-1.Automata_tesztek","Sat Oct 25 12:50:05 UTC 2025","passed","Sat Oct 25 12:50:06 UTC 2025","TestWebShop","test_automated","",""
"","62","test_pricecheck","sprint-1.Automata_tesztek","Sat Oct 25 12:50:03 UTC 2025","passed","Sat Oct 25 12:50:03 UTC 2025","TestWebShop","test_automated","",""
"","34","test_name","sprint-1.Automata_tesztek","Sat Oct 25 12:50:03 UTC 2025","passed","Sat Oct 25 12:50:03 UTC 2025","TestWebShop","test_automated","",""
"","342","test_number_available_instruments","sprint-1.Automata_tesztek","Sat Oct 25 12:50:04 UTC 2025","passed","Sat Oct 25 12:50:04 UTC 2025","TestWebShop","test_automated","",""
