"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21609","test_name","sprint-1.Automata_tesztek","Tue Oct 21 23:59:25 UTC 2025","broken","Tue Oct 21 23:59:47 UTC 2025","TestWebShop","test_pricecheck","",""
"","42996","test_login","sprint-1.Automata_tesztek","Wed Oct 22 00:00:10 UTC 2025","broken","Wed Oct 22 00:00:53 UTC 2025","TestWebShop","test_pricecheck","",""
"","21574","test_pricecheck","sprint-1.Automata_tesztek","Tue Oct 21 23:59:03 UTC 2025","broken","Tue Oct 21 23:59:25 UTC 2025","TestWebShop","test_pricecheck","",""
"","21605","test_number_available_instruments","sprint-1.Automata_tesztek","Tue Oct 21 23:59:48 UTC 2025","broken","Wed Oct 22 00:00:09 UTC 2025","TestWebShop","test_pricecheck","",""
