"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20277","test_number_available_instruments","sprint-1.Automata_tesztek","Wed Oct 22 07:39:48 UTC 2025","broken","Wed Oct 22 07:40:08 UTC 2025","TestWebShop","test_pricecheck","",""
"","20281","test_name","sprint-1.Automata_tesztek","Wed Oct 22 07:39:27 UTC 2025","broken","Wed Oct 22 07:39:47 UTC 2025","TestWebShop","test_pricecheck","",""
"","21691","test_login","sprint-1.Automata_tesztek","Wed Oct 22 07:40:08 UTC 2025","broken","Wed Oct 22 07:40:30 UTC 2025","TestWebShop","test_pricecheck","",""
"","20273","test_pricecheck","sprint-1.Automata_tesztek","Wed Oct 22 07:39:06 UTC 2025","broken","Wed Oct 22 07:39:26 UTC 2025","TestWebShop","test_pricecheck","",""
